Season,wappen,Club,Club.1,Top coaches,League
22/23,,Al-Ittihad Club,Nuno Espírito Santo,,Yelo League
21/22,,Al-Hilal SFC,Ramón Díaz,,Yelo League
20/21,,Al-Hilal SFC,José Morais,,Yelo League
19/20,,Al-Hilal SFC,Razvan Lucescu,,Yelo League
18/19,,Al-Nassr FC,Rui Vitória,,Yelo League
17/18,,Al-Hilal SFC,Juan Brown,,Yelo League
16/17,,Al-Hilal SFC,Ramón Díaz,,Yelo League
15/16,,Al-Ahli SFC,Christian Gross,,Yelo League
14/15,,Al-Nassr FC,Jorge da Silva,,Yelo League
13/14,,Al-Nassr FC,Daniel Carreño,,Yelo League
12/13,,Al-Fateh SC,Fathi Al-Jabal,,Yelo League
11/12,,Al-Shabab FC,Michel Preud'homme,,Yelo League
10/11,,Al-Hilal SFC,Gabriel Calderón,,Yelo League
09/10,,Al-Hilal SFC,Eric Gerets,,Yelo League
08/09,,Al-Ittihad Club,Gabriel Calderón,,Yelo League
07/08,,Al-Hilal SFC,Cosmin Olaroiu,,Yelo League
06/07,,Al-Ittihad Club,Dimitri Davidovic,,Yelo League
05/06,,Al-Shabab FC,Zé Mario,,Yelo League
04/05,,Al-Hilal SFC,Marcos Paquetá,,Yelo League
03/04,,Al-Shabab FC,,,Yelo League
02/03,,Al-Ittihad Club,Khalid Al-Koroni,,Yelo League
01/02,,Al-Hilal SFC,Artur Jorge,,Yelo League
00/01,,Al-Ittihad Club,,,Yelo League
99/00,,Al-Ittihad Club,,,Yelo League
98/99,,Al-Ittihad Club,Dimitri Davidovic,,Yelo League
97/98,,Al-Hilal SFC,Ilie Balaci,,Yelo League
96/97,,Al-Ittihad Club,Dimitri Davidovic,,Yelo League
95/96,,Al-Hilal SFC,,,Yelo League
94/95,,Al-Nassr FC,,,Yelo League
93/94,,Al-Nassr FC,Jean Fernandez,,Yelo League
92/93,,Al-Shabab FC,Geninho,,Yelo League
91/92,,Al-Shabab FC,,,Yelo League
90/91,,Al-Shabab FC,,,Yelo League
89/90,,Al-Hilal SFC,,,Yelo League
88/89,,Al-Nassr FC,Joel Santana,,Yelo League
87/88,,Al-Hilal SFC,,,Yelo League
86/87,,Al-Ettifaq FC,Khalil Al-Ziani,,Yelo League
85/86,,Al-Hilal SFC,,,Yelo League
84/85,,Al-Hilal SFC,Valdir Espinosa,,Yelo League
83/84,,Al-Ahli SFC,Telê Santana,,Yelo League
82/83,,Al-Ettifaq FC,Khalil Al-Ziani,,Yelo League
81/82,,Al-Ittihad Club,,,Yelo League
80/81,,Al-Nassr FC,,,Yelo League
79/80,,Al-Nassr FC,,,Yelo League
78/79,,Al-Hilal SFC,Mario Zagallo,,Yelo League
77/78,,Al-Ahli SFC,Didi,,Yelo League
76/77,,Al-Hilal SFC,,,Yelo League
74/75,,Al-Nassr FC,,,Yelo League
