id,Clubs,League,Season
1,Al-Ittihad Club,Yelo League,22/23
2,Al-Hilal SFC,Yelo League,21/22
3,Al-Hilal SFC,Yelo League,20/21
4,Al-Hilal SFC,Yelo League,19/20
5,Al-Nassr FC,Yelo League,18/19
6,Al-Hilal SFC,Yelo League,17/18
7,Al-Hilal SFC,Yelo League,16/17
8,Al-Ahli SFC,Yelo League,15/16
9,Al-Nassr FC,Yelo League,14/15
10,Al-Nassr FC,Yelo League,13/14
11,Al-Fateh SC,Yelo League,12/13
12,Al-Shabab FC,Yelo League,11/12
13,Al-Hilal SFC,Yelo League,10/11
14,Al-Hilal SFC,Yelo League,09/10
15,Al-Ittihad Club,Yelo League,08/09
16,Al-Hilal SFC,Yelo League,07/08
1,Al-Ahli SFC,Saudi Pro League,22/23
2,Al-Khaleej FC,Saudi Pro League,21/22
3,Al-Hazem SC,Saudi Pro League,20/21
4,Al-Batin FC,Saudi Pro League,19/20
5,Abha Club,Saudi Pro League,18/19
6,Al-Wehda FC,Saudi Pro League,17/18
7,Al-Fayha FC,Saudi Pro League,16/17
8,Al-Ettifaq FC,Saudi Pro League,15/16
9,Al-Qadsiah FC,Saudi Pro League,14/15
10,Hajer Club,Saudi Pro League,13/14
11,Al-Orobah FC,Saudi Pro League,12/13
12,Al-Shoalah FC,Saudi Pro League,11/12
13,Hajer Club,Saudi Pro League,10/11
14,Al-Faisaly FC,Saudi Pro League,09/10
15,Al-Qadsiah FC,Saudi Pro League,08/09
16,Al-Raed SFC,Saudi Pro League,07/08
1,Al-Ittihad Club,Yelo League,22/23
2,Al-Hilal SFC,Yelo League,21/22
3,Al-Hilal SFC,Yelo League,20/21
4,Al-Hilal SFC,Yelo League,19/20
5,Al-Nassr FC,Yelo League,18/19
6,Al-Hilal SFC,Yelo League,17/18
7,Al-Hilal SFC,Yelo League,16/17
8,Al-Ahli SFC,Yelo League,15/16
9,Al-Nassr FC,Yelo League,14/15
10,Al-Nassr FC,Yelo League,13/14
11,Al-Fateh SC,Yelo League,12/13
12,Al-Shabab FC,Yelo League,11/12
13,Al-Hilal SFC,Yelo League,10/11
14,Al-Hilal SFC,Yelo League,09/10
15,Al-Ittihad Club,Yelo League,08/09
16,Al-Hilal SFC,Yelo League,07/08
1,Al-Ahli SFC,Saudi Pro League,22/23
2,Al-Khaleej FC,Saudi Pro League,21/22
3,Al-Hazem SC,Saudi Pro League,20/21
4,Al-Batin FC,Saudi Pro League,19/20
5,Abha Club,Saudi Pro League,18/19
6,Al-Wehda FC,Saudi Pro League,17/18
7,Al-Fayha FC,Saudi Pro League,16/17
8,Al-Ettifaq FC,Saudi Pro League,15/16
9,Al-Qadsiah FC,Saudi Pro League,14/15
10,Hajer Club,Saudi Pro League,13/14
11,Al-Orobah FC,Saudi Pro League,12/13
12,Al-Shoalah FC,Saudi Pro League,11/12
13,Hajer Club,Saudi Pro League,10/11
14,Al-Faisaly FC,Saudi Pro League,09/10
15,Al-Qadsiah FC,Saudi Pro League,08/09
16,Al-Raed SFC,Saudi Pro League,07/08
1,Al-Ittihad Club,Yelo League,22/23
2,Al-Hilal SFC,Yelo League,21/22
3,Al-Hilal SFC,Yelo League,20/21
4,Al-Hilal SFC,Yelo League,19/20
5,Al-Nassr FC,Yelo League,18/19
6,Al-Hilal SFC,Yelo League,17/18
7,Al-Hilal SFC,Yelo League,16/17
8,Al-Ahli SFC,Yelo League,15/16
9,Al-Nassr FC,Yelo League,14/15
10,Al-Nassr FC,Yelo League,13/14
11,Al-Fateh SC,Yelo League,12/13
12,Al-Shabab FC,Yelo League,11/12
13,Al-Hilal SFC,Yelo League,10/11
14,Al-Hilal SFC,Yelo League,09/10
15,Al-Ittihad Club,Yelo League,08/09
16,Al-Hilal SFC,Yelo League,07/08
1,Al-Ahli SFC,Saudi Pro League,22/23
2,Al-Khaleej FC,Saudi Pro League,21/22
3,Al-Hazem SC,Saudi Pro League,20/21
4,Al-Batin FC,Saudi Pro League,19/20
5,Abha Club,Saudi Pro League,18/19
6,Al-Wehda FC,Saudi Pro League,17/18
7,Al-Fayha FC,Saudi Pro League,16/17
8,Al-Ettifaq FC,Saudi Pro League,15/16
9,Al-Qadsiah FC,Saudi Pro League,14/15
10,Hajer Club,Saudi Pro League,13/14
11,Al-Orobah FC,Saudi Pro League,12/13
12,Al-Shoalah FC,Saudi Pro League,11/12
13,Hajer Club,Saudi Pro League,10/11
14,Al-Faisaly FC,Saudi Pro League,09/10
15,Al-Qadsiah FC,Saudi Pro League,08/09
16,Al-Raed SFC,Saudi Pro League,07/08
